T26,Water supply and sanitation services,,,,,
32,Argentina,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
32,Argentina,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",27.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
32,Argentina,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
32,Argentina,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
32,Argentina,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",25.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
32,Argentina,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",26.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
51,Armenia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",43.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
51,Armenia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",57.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
51,Armenia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",60.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
36,Australia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",98.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
36,Australia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",66.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
36,Australia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",98.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
36,Australia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",70.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
36,Australia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",98.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
36,Australia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",74.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2005,"Safely managed drinking water sources, total (Proportion of population with access)",98.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",92.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",96.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",92.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",96.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",99.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",92.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
40,Austria,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",96.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
31,Azerbaijan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",56.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
31,Azerbaijan,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",72.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
31,Azerbaijan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",67.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
31,Azerbaijan,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",72.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
31,Azerbaijan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",71.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
31,Azerbaijan,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",73.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
48,Bahrain,2005,"Safely managed drinking water sources, total (Proportion of population with access)",98.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
48,Bahrain,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
48,Bahrain,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",44.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",60.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2005,"Safely managed drinking water sources, total (Proportion of population with access)",55.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",20.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",44.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",60.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2010,"Safely managed drinking water sources, total (Proportion of population with access)",55.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",26.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",44.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",61.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2015,"Safely managed drinking water sources, total (Proportion of population with access)",55.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
50,Bangladesh,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",32.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2005,"Safely managed drinking water sources, total (Proportion of population with access)",82.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",86.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",67.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",81.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2010,"Safely managed drinking water sources, total (Proportion of population with access)",89.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",82.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",70.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",79.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2015,"Safely managed drinking water sources, total (Proportion of population with access)",94.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",77.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",71.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
112,Belarus,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",76.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
56,Belgium,2005,"Safely managed drinking water sources, total (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
56,Belgium,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",74.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
56,Belgium,2010,"Safely managed drinking water sources, total (Proportion of population with access)",98.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
56,Belgium,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",85.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
56,Belgium,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
56,Belgium,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",97.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",44.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",23.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",30.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",44.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",25.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",32.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",44.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",27.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
64,Bhutan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",34.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
68,Bolivia (Plurin. State of),2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",19.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
68,Bolivia (Plurin. State of),2005,"Safely managed sanitation facilities, total (Proportion of population with access)",16.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
68,Bolivia (Plurin. State of),2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",21.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
68,Bolivia (Plurin. State of),2010,"Safely managed sanitation facilities, total (Proportion of population with access)",17.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
68,Bolivia (Plurin. State of),2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",22.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
68,Bolivia (Plurin. State of),2015,"Safely managed sanitation facilities, total (Proportion of population with access)",19.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2005,"Safely managed drinking water sources, total (Proportion of population with access)",87.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",10.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",23.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2010,"Safely managed drinking water sources, total (Proportion of population with access)",88.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",10.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",23.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2015,"Safely managed drinking water sources, total (Proportion of population with access)",88.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",9.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
70,Bosnia and Herzegovina,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",23.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
72,Botswana,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",84.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
72,Botswana,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",84.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
72,Botswana,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",84.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",95.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",31.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",29.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",35.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",33.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",97.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
76,Brazil,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",38.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2005,"Safely managed drinking water sources, total (Proportion of population with access)",97.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",79.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",71.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2010,"Safely managed drinking water sources, total (Proportion of population with access)",96.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",65.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",60.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",50.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
100,Bulgaria,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",48.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
116,Cambodia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",47.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
116,Cambodia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",12.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
